# MO Energy Levels
#
#
# Alpha MOs
#    num     occ              Energy
      93       0       36.1206780000
      92       0       35.3645690000
      91       0       24.2464046000
      90       0        6.1699384200
      89       0        5.3086511100
      88       0        5.2469476900
      87       0        5.2278851700
      86       0        4.8557965700
      85       0        4.8229570100
      84       0        4.8037079100
      83       0        4.7308705700
      82       0        4.6486387200
      81       0        4.6350017800
      80       0        4.5378966200
      79       0        4.5186441900
      78       0        4.0873857400
      77       0        4.0253017600
      76       0        4.0141919300
      75       0        3.9775406900
      74       0        3.8572199200
      73       0        3.8149177000
      72       0        3.5834259800
      71       0        3.4494232800
      70       0        3.4225731200
      69       0        3.2831523200
      68       0        3.2270809700
      67       0        2.8753862200
      66       0        2.8248583400
      65       0        2.6524879200
      64       0        2.6053086900
      63       0        2.3806283400
      62       0        2.3744514400
      61       0        2.1423153800
      60       0        2.0588397100
      59       0        1.9871951300
      58       0        1.9282411800
      57       0        1.8261404300
      56       0        1.7158795600
      55       0        1.6617108100
      54       0        1.4256751300
      53       0        1.4025735100
      52       0        1.3058058900
      51       0        1.3034500400
      50       0        1.2647133500
      49       0        1.2556969700
      48       0        1.1623832500
      47       0        0.9966280250
      46       0        0.9747955970
      45       0        0.9622422780
      44       0        0.8978717660
      43       0        0.8854687640
      42       0        0.8713162600
      41       0        0.8569917230
      40       0        0.8087066930
      39       0        0.7815181080
      38       0        0.7641068230
      37       0        0.7625087340
      36       0        0.7553020210
      35       0        0.6767882710
      34       0        0.6417574180
      33       0        0.5613081070
      32       0        0.5557118880
      31       0        0.5321442250
      30       0        0.5110471340
      29       0        0.4121930410
      28       0        0.3044575030
      27       0        0.2700566330
      26       0        0.2396678020
      25       0        0.2248574450
      24       0        0.2236958200
      23       0        0.2151713610
      22       0        0.1910213060
      21       0        0.1462391610
      20       0        0.1403082160
      19       0        0.1353441190
      18       0        0.1089409660
      17       0        0.0867928432
      16       0        0.0527076168
      15       0        0.0521921723
      14       0        0.0128819308
      13       0        0.0062272727
      12       0       -0.0511639508   N,N PX 反键轨道贡献，H,HS与N,N反键，在反键
      11       2       -0.2376429430   N4 ,C5 反键 这2个原子上如何成键呢？图形上看C的范围要大些，更容易成键吗
      10       2       -0.4131328320
       9       2       -0.4642346140
       8       2       -0.5002548960
       7       2       -0.5395006940
       6       2       -0.5732055790
       5       2       -0.8726497690
       4       2       -1.1409501400
       3       2      -10.2328633000
       2       2      -14.4222310000
       1       2      -14.4971093000
